Song,Performer,Year,Decade,Lyrics
countdown,beyonce,2011,2010,"Boy!

Oh, killing me softly and I'm still falling
Still the one I need, I will always be with you
Oh, you got me all gone, don't ever let me go
Say it real loud if you fly
If you leave me, you're out of your mind

My baby is a ten
We dressing to the nine
He pick me up, we eight
Make me feel so lucky, seven
He kiss me in his six
We be making love in five
Still the one I do this four
I'm trying to make us three
From that two
He still the one

There's up's and downs in this love
Got a lot to learn in this love
Through the good and the bad, still got love
Dedicated to the one I love, hey
Still love the way he talk, still love the way I sing
Still love the way he rock them black diamonds in that chain
Still all up on each other, ain't a damn thing change
My girls can't tell me nothing, I'm gone in the brain
I'm all up under him like it's cold, winter time
All up in the kitchen in my heels, dinner time
Do whatever that it takes, he got a winner's mind
Give it all to him, meet him at the finish line
Me and my boo in my boo's coupe riding
All up in that black with his chick right beside him
Ladies, if you love your man, show him you the fliest
Grind up on it, girl, show him how you ride it
Me and my boo in my boo's coupe riding
All up in that black with his chick right beside him
Ladies, if you love your man, show him you the fliest
Grind up on it, girl, show him how you ride it

Oh, killing me softly and I'm still falling
Still the one I need, I will always be with you
Oh, you got me all gone, don't ever let me go
Say it real loud if you fly
If you leave me, you're out of your mind

My baby is a ten
We dressing to the nine
He pick me up, we eight
Make me feel so lucky, seven
He kiss me in his six
We be making love in five
Still the one I do this four
I'm trying to make us three
From that two
He still the one
Yup, I put it on him, it ain't nothing that I can't do
Yup, I buy my own, if he deserve it, buy his shit too
All up in the store, shorty, tricking if I want to
All up in the store, shorty, fly as we want to
Ooh, ooh, ooh, ooh
Damn, I think I love that boy, do anything for that boy (Boy)
Ooh, ooh, ooh, ooh
Now I'll never be the same, you and me until the end

Me and my boo in my boo's coupe riding
All up in that black with his chick right beside him
Ladies, if you love your man, show him you the fliest
Grind up on it, girl, show him how you ride it

Me and my boo in the coupe lip locking
All up in the back because the chicks keep flocking
All that gossip in ten years, stop it
London speed it up, Houston rock it

Oh, killing me softly and I'm still falling
Still the one I need, I will always be with you
Oh, you got me all gone, don't ever let me go
Say it real loud if you fly
If you leave me, you're out of your mind
My baby is a ten
We dressing to the nine
He pick me up, we eight
Make me feel so lucky seven
He kiss me in his six
We be making love in five
Still the one I do this four
I'm trying to make us three
From that two
He still the one"
body language,kid ink featuring usher ,2014,2010,"It's Kid Ink, yeah yeah, watch this

It's not a lot that you've been saying, whoa
But I can tell from your body language
Okay let's talk about it (bout it), is you 'bout it? ('bout it)
Let's talk about it (bout it), can we talk about it?
But you ain't gotta say too much (no), you ain't gotta say too much (no)
I can read your body language
You ain't gotta say too much
I can read your body language

Uh said you ain't gotta say too much
Hate when you say that I play too much
When I get too close I'mma touch that subject
I can read yo body, nuff said
Quit all that yapping
Need less talk and a little more action (hey)
Yeah, now girl keep it G, know you speak a lil freak
I can hear it in yo accent
Said tell me, can you understand my language?
If you tryna ride, just stay in my lane
There's no other way to explain it
In layman's fuck who you came with
It's not a lot that you've been saying, whoa
But I can tell from your body language
Okay let's talk about it (bout it), is you 'bout it? ('bout it)
Let's talk about it (bout it), can we talk about it?
But you ain't gotta say too much (no), you ain't gotta say too much (no)
I can read your body language
You ain't gotta say too much
I can read your body language

It ain't hard to tell
If you don't wanna take it too far, then well
You better stop flirting and stop twerking
So perfect, cause it's working
That ass worth all the worship
You been in yo bag like Birkin
Never had it like this before me
You ain't know girl, better read up on me
You tryna get high got to re-up on me
Being stuck up gon' leave you lonely for the night
We should leave before the light's
On, girl, I'm too on
It's not a lot that you've been saying, whoa
But I can tell from your body language
Okay let's talk about it (bout it), is you 'bout it? ('bout it)
Let's talk about it (bout it), can we talk about it?
But you ain't gotta say too much (no), you ain't gotta say too much (no)
I can read your body language
You ain't gotta say too much
Oh, they say don't judge a book by its cover
We can make a scene that you be under the cover
Listen, you ain't gotta say too much, you ain't gotta say too much
You ain't gotta say much, you ain't gotta say much
Girl I'm talking, girl I'm listening, come closer, let me hear ya

It's not a lot that you've been saying, whoa
But I can tell from your body language (Your body language)
Okay let's talk about it (bout it), is you 'bout it? ('bout it)
Let's talk about it (bout it), can we talk about it? (Talk about it)
But you ain't gotta say too much (no), you ain't gotta say too much (no)
I can read your body language
You ain't gotta say too much
I can read your body language"
stand or fall,the fixx,1982,1980,"The crying parents tell their children
If you survive, don't do as we did
A son exclaims there'll be nothing to do to
Her daughter says she'll be dead with you
While foreign affairs are screwing us rotten
Line morale has hit rock bottom
Dying embers stand forgotten
And talks of peace were being trodden
Stand or fall
State your peace tonight
Stand or fall
State your peace tonight
Is this the value of our existence?
Should we proclaim with such persistence?
Our destiny relies on conscience
Red or blue, what's the difference?
Stand or fall
State your peace tonight
Stand or fall
State your peace tonight
It's the euro theatre
It's the euro theatre
It's the euro theatre
An empty face reflects extinction
Ugly scars divide the nation
Desecrate the population
There will be no exaltation
Stand or fall
State your peace tonight
Stand or fall
State your peace tonight
It's the euro theatre
It's the euro theatre
It's the euro theatre
Stand or fall
Stand or fall
Stand or fall
Stand or fall
Stand or fall
Stand or fall"
pop that booty,marques houston ,2004,2000,"Yeah (come on)
Here it is y'all, one more time
JD, MH (come on)
(JD: Yeah, So So Def is in the building)

It's the - MH and Pied Pied Pied Piper
MH and Pied Pied Pied Piper
We get the girls so-so hyper
We make 'em say da-da-da-da-da-da-da

Pulled up to the party, in a black Lexus jeep (yeah)
Hop up out the whip I'm feelin' freaky (ohh)
All the ladies comes surround me
Cause I'm so important, like the H in Hi-C
This one girl, she making my body fien
I'm {fucked} up on hypnotic and ice cream
So I stepped to her, like I knew her
Introduced her to Jacob the Jewler
Mami won't you come take a ride with me (ohh)
Be the girl of my fantasies
But first won't you do one thing for me
Baby won't you come pop ya booty for me (0hh)
Love the way you move so sexy (oohh oh)
I love it when you are all up on me
But one thing I have to see
Is the way you pop that booty (pop it for me)
I love the way you move so sexy
I love it when you all up on me (ohh oh)
Girl take the floor and you'll see
Let me see you pop that booty


Girl shake that ahh like there's no rules
Love the way you move in those high heel shoes
So pop your booty like +Beyonce+
Got me falling +Crazy In Love+ with you
Making me wanna say
Uh oh uh oh uh oh uh oh
Uh oh uh oh uh oh uh oh
Girl you shaped like a Coke bottle
So let me see you pop your thing full throttle


I don't do too many skinny or the runway frail
Thick with it is how we like it in the ATL
Sick with it, pants low with a real wide load
As soon as you hit the door everybody was like (OOOOH!)
And it's hard for you to go to the mall and buy clothes
Cause your waist is so little and your ass is like (WHOA!)
You poppin' that thing like a Luke video
Mesmerized by the sound and the way the flutes blow
Drink in my right hand, another in my left
Crew right behind me screamin So So Def
Now forgive me if I'm staring, but I gotta no one thing
How in the hell did you get all that in those jeans
I'm behind you +Grindin+, molding the +Clipse+
Cause I ain't never seen nobody pop they booty like dis
What I'm saying is, what you doing is major
The way you keep, shaking, shaking, shaking what cha momma gave ya

Mami dancing all on me
She not wearing any panties (ok)
I love it when she call me dada
The way she pops it like she from Jamaica


Yeah MH, JD, Piper, TUG
T. Scott you a fool fo dis one (oh yeah)
Holla! Chris Stokes
Holla at cha boy man
Bring that ish back or something"
somebody else's guy,jocelyn brown,1984,1980,"I can´t get off my high horse
And I can´t let you go
You are the one who
You are the one who makes me feel
So real, yeah yeah yeah
Oh, what am I supposed to do
Oh, what am I supposed to do, baby
When I´m so hooked up on you
Then I realize
Oh, I realize
That you are somebody else´s guy
Oh yeah
Why you wanna do this to me boy?
(Somebody else´s guy)

Can you remember the times we spent together
Sharing our days in the sun
Then I found out that you were somebody else´s lover
After all the plans we made, now were shattered

Still I can´t get off my high horse
I can´t let go
You are the one who makes me feel so real
Ooh what am I supposed to do
When I´m hooked so on you
Then I realize that you´re somebody else´s guy
That day in September, I´m sure you can remember
That´s when all the stuff hit the fan
You told me a lie and you didn't have an alibi
But baby yet I still cared

You know I loved you so baby that I can´t let go
You are the one who makes me feel so real
Ooh what am I supposed to do
When I´m hooked so on you
And realize you´re somebody else´s guy


You know I loved you so baby that I can´t let go l
You are the one who makes me feel so real
Ooh what am I supposed to do
When I´m hooked so on you
And realize that you´re somebody else´s guy"
bring it back,travis porter,2011,2010,"Run and hit that pussy like a crash dummy (Run it)
Bend it over, touch ya toes
Shake that ass for me (Shake)
Bounce that ass on the flow, bring it back up (Back up)
Hit a split on the dick, shawty act up (Act up)
Now bring it back, Now bring it back
Now bring it back, Now bring it back
Now bring it back, Now bring it back
Now bring it back, Now bring it back
She can act 
Act a fool, Bring it back

Shawty goin hard, concrete
She can shake her ass, one cheek, two cheeks
Both cheeks, both cheeks
I got a white girl freak she got no cheeks
Got a police bitch on a short leash
Got good mouth like she got no teeth
She a slut, she a dog, she a bitch with it
Man you see the way she work she super thick with it
Have them hoes throwin salt
Tell the bitch get it
Started playin with her p*ssy
Tell the bitch split it
Pop that p*ssy, I just wanna f*ck you
If you ain’t with it, you cute but shawty f*ck you

I do a donut in that Pussy cause im from the bay
Ran through a bunch of bad bitches in my day
Im older than ya momma
But I dont fuck cougars
Yo daddy was a player, mane how you such a loser?
When ya momma was a young thing, I knew her
But even back then nigga I ain't wanna do her
I like the ones who know how to shake it
Not just at the club, lemme see you when you naked
YOU GO!
I ain't gotta say it no more
Drop it to ground girl lay it on the floor
Pussy so wet, its like a day out on the boat
Open up wide ---
Too much fun, is what im having
Cause all that booty is what im grabbing
Short Dog, I dont stop rappin
Bitch, you know whats happenin


Back that ass up like a dump truck
If you havin fun in the club, throw ya pumps up
All my ballas in the building throw ya 1s up
If you ain’t throwin no money then get ya funds up
I asked her whats her name and she said her name Nicki
Got a real big booty and some real big titties
Say she don’t really come out to the city
Cuz she a country girl and she like to get busy
She got a good job and she say she 24
I said “Ok” then shawty hit the flo’
And I was like “whoa”
Then I threw some 1s just to let shawty know
Just to let shawty that Ima

Bring that ass back like you left some
Shawty so hot she can melt some
Feel like I wanna smack her with a belt or some
So I told her come here so I can tell her some
I wanna see ya big booty on my upper leg
And I’ll throw a couple dollars at ya upper head
How bout you and ya friends just give me double head
At breakfast time she gave me supper head
And that’s a great feeling
And I f*ck with her because she so willing
Watch her I do whatever that I tell her
So I broke her down and this is what I tell her"
one tear,eddie kendricks,1975,1970,"I wake up early every morning
With just one tear in my eye
I remember late one evening
My sweet baby said goodbye to me
Oh yes, she did
I cried so hard when she left me
I just rolled up in a great big ball
All my life drained from my body
'Cause that one tear
That one tear just wouldn't fall
How I tried to forget her
But this one tear won't set me free
I didn't know till she went away
Just how much that woman meant to me
Ooh yes, she did
Without her my life is nothing
Even though she let me down
If my baby don't come home to me
In this one tear
In this one tear I'm gonna drown
Every night I, I say a prayer
And I whisper something, Lord
I've got to get my baby back
So this one tear
So this one tear will let me go
You, my baby, stop my crying
I, I, I've been slowly dying
Want to feel me
Want to free me
You, my baby, stop my crying
I, I, I've been slowly dying
Want to feel me
Want to free me"
rain in the summertime,the alarm,1988,1980,"Under the anvil of the sun
Sweat, like a train
I come, I come
My body to dust
Scorched by the might of the sun
Burning light, burning white heat
Like wildfire
I sweat a fever
My body screams
Disintegrates in the heat
Our love is the FAITH that keeps on burning
I love to feel the RAIN IN THE SUMMERTIME
I love to feel the rain on my face
I love to feel the RAIN IN THE SUMMERTIME
I love to feel the rain on my face
Burnt at the stake, on a bed of fire
My body rises
Taking me higher
My loves desire
Is pure ascension fire
And love is the FAITH that keeps on burning
I love to feel the RAIN IN THE SUMMERTIME
I love to feel the rain on my face
I love to feel the RAIN IN THE SUMMERTIME
I love to feel the rain on my face
And then I run 'til the breath tears my throat
'Til the pain hits my side
As if I run fast enough
I can leave all the pain and the sadness behind
I love to feel the RAIN IN THE SUMMERTIME
I love to feel the rain on my face
I love to feel the RAIN IN THE SUMMERTIME
I love to feel the rain on my face
(I love to feel the rain on my face)
(In the summertime)"
someone,el debarge,1987,1980,"Someone just like me
Running into someone just like you
An accidental touch
Turned into a gentle kiss or two
Love has finally come
Somehow found my someone

Close to you
That's how I feel
When the world's asleep
And we're sharing sweet
Solitude
Almost gave up
Trying to find someone else in love

Long walk
Soft talk
Still can't believe it
What were the odds of

Was that me?
Not long ago
No one here to care
No one's dreams to share
You agree
Nights can be rough
When you can't find someone else in love

Long walk
Soft talk
Hard to believe it
What were the odds of


You and me
All alone
That's my favorite time of night
Nothing for us to do
But finding ways to hold each other tight
Imagine"
as we lay,kelly price,2000,2000,"Whoa, it's morning
And we slept the night away
It happened
Now we can't turn back the hands of time, no, no
Yes we've stolen this moment
We forgot to face one simple fact
We both belong to someone else
As we slept the night away
It's morning
Sunlight shines across your sleeping face, oh
A new day
Brings reality and we must go our separate ways
What a lovely night we had yeah, yeah
As we shared each other's love
We forgot about all the pain we caused
As we slept the night away
As we lay
We forgot about tomorrow
As we lay
Ooh hey, hey
As we lay
Didn't think about
The price we'd have to pay
No, no, no
It's morning
And now it's time for us to say goodbye
Goodbye baby
You're leaving me
I know you've got to hurry home to face your wife, wife
I would never want to hurt her, no, no, no
She would never understand
You belong to me for just one night
As we slept the night away
Ooh oh, whoa
I would never, never want to hurt her, no, no, no
She would never understand
You belong to me for just one night
As we slept the night away
As we lay
We forgot about tomorrow
As we lay
Ooh no, no hey, hey
As we lay
Didn't think about
The price we'd have to pay
No, no, no
We should have counted up the cost
But instead we got lost
In the second, in the minute
In the hour, hey, hey, hey
As we lay
We forgot about tomorrow
As we lay
Oh no, oh no, no
My love why can't you see
How loving you is killing me baby, baby
I can't think of no one else
Baby, baby I can't take it no more
You see I can't be in your life
You gotta go home to you wife
Oh it's morning"
rope,foo fighters,2011,2010,"This indecision got me climbin' up the wall
Been cheatin' gravity and waitin' on the fall
How did this come over me? I thought I was above it all
Our hope's gone up in smoke, swallow your crown

Choke! On our kiss
Thought I'd save my breath for you
Choke! On our kiss
Thought I'd save my breath for you

Gimme some rope, I'm comin' loose
I'm hangin' on you
Gimme some rope, I'm comin' loose
I'm pullin' for you now
Give me some rope, I'm comin'
Outta my head, into the clear
When you go, I come loose

These premonitions got me cryin' up a storm
Leave your condition, this position does no harm
Choke! On our kiss
Thought I'd save my breath for you
Choke! On our kiss
Thought I'd save my breath for you

Gimme some rope, I'm comin' loose
I'm hangin' on you
Gimme some rope, I'm comin' loose
I'm pullin' for you now
Give me some rope, I'm comin'
Outta my head, into the clear
When you go, I come loose


Gimme some rope, I'm comin' loose
I'm hangin' on you
Gimme some rope, I'm comin' loose
I'm pullin' for you now
Gimme some hope, I'm comin' through
I'm counting on you
Gimme some rope, I'm comin'
Outta my head, into the clear
When you go, I come
Loose"
proud,the joe chemay band,1981,1980,"Proud Carry your head so high Feeling kinda of mighty Maybe take a little flight  Proud Who do you think you are Gotta getta grip Or you run out of light  Proud Carry your head so high Feeling kinda of mighty Maybe take a little flight  Proud Who do you think you are Gotta getta grip Or you run out of light  If you feel the urge to groove you better listen When you do experience the strangest feeling You are born to think it s a matter of fact Let your conscience be your guide  Who are you impressing with your lack of virtue Don t you think you ve had to the time to learn the true things You re a bigger fool if you really believe You ll find a diamond in the sky  So proud Carry your head so high Feeling kinda of mighty Maybe take a little flight  Proud Who do you think you are Gotta getta grip Or you run out of light  Open up your eyes and use your inner vision Everybody needs some kind of confirmation So you begin to think a pat on the back Is all you need to get you back  You feed your ego Glorified you, critizied without a reason And you groan and weep And will never cease to have a cautious state of mind  So proud Carry your head so high Feeling kinda of mighty Maybe take a little flight  Proud Who do you think you are Gotta getta grip Or you run out of light  Proud Carry your head so high Feeling kinda of mighty Maybe take a little flight  Proud Who do you think you are Gotta getta grip Or you run out of light  Proud Proud So so so proud "
breakdown,fu-schnickens,1994,1990,"Breakdown!

The flow will break you down
Bet the flow will break you down (breakdown!)
The flow will break you down
Bet the flow will break you down (breakdown!)
The flow will break you down
Bet the flow will break you down (breakdown!)
The flow will break you down
Bet the flow will break you down (breakdown!)
The flow will break you down
Bet the flow will break you down

I gets so busy on the mic with my rythmic flows
That's bound to leave you bangin' when it gets exposed
'Cause the way I could display my style is wicked
So run up to your counters, and go and get your tickets
I know you got dreams of roasting me hot
But I got flavor like that candy in your grocery shop
The dramatical, craft-matical, soul fanatic
An addict, with the crazy flow that's automatic
Flowin' like them bolts from the sky like Zeus
An old schooler, who drops mathematics like a ruler
Or protractor, you don't have no knack to
Hang with me, come with the steez and see I'm no actor
That shit is real homeslice, so bring your own dice
So we call roll, gonna lose, I'm takin' all your dough
Punch you in your eye and come raid your town
With the sound full of spunk as we break it down
'Cause it's...
Bet the flow will break you down (breakdown!)
The flow will break you down
Bet the flow will break you down (breakdown!)
The flow will break you down
Bet the flow will break you down (breakdown!)
The flow will break you down
Bet the flow will break you down (breakdown!)
The flow will break you down
Bet the flow will break you down

Ah, ah, aah, achoo!
What to do? Timbuck-one, timbuck-two
I can't see a t'ing like Mr. Magoo
The sniffling, huh-huh-ha
C-c-c-coughing, achoo!
Stuffy, naughty, nappy jack-in-a-box, dreadlocks rocks
So na, hic-up, na, hic, what's up? Tic-tic-tock, oops!
Shiver me Timberland boots
Oh my gosh, oh my goose
Shucks, yo now I huh, now I huh, eeh, got the hic-ups
And I rips up many tracks, jumpin' Jehoshaphat
Don't make a sound, I see you wabbit
Tracks, like thunder and lightning
My style frightening, can't you tell?
I'm loco, ooh, they don't know me very well, so
I lumps 'em, eeh, bruise 'em with black eyes and stitches
They're mad, keeh, 'cause we went from rags into riches
Now my scruples, I lose 'em
Damage, I do some
I'm two-faced kid, so call me the gruesome two-some
I got secrets, but I don't know
Like Yoko, I'm Ono
I'm changing, visions blurry, so call me, I'm Quasimoto
And yo, I'll switch up, hic-up!
Switch up, hic-up!
Switch up, hic-up!
Switch-up, hii!
With or without the hic-ups, those emcees quickly pack up
Then I freaks my Fu-Schnick style wild to the microphone
Yo, peep it
And I freaks it, hic-up!
Freaks it, hic-up!
When I freaks it with my drunken technique
I'm makin' pips squeak
But now it's back to the lagoon, way up shit's creek
And don't sleep, when it's time to creep
We roll mad deep, and if the shit gets kind of thick
Here comes the five six fleet to break you down
The flow will break you down
Bet the flow will break you down (breakdown!)
The flow will break you down
Bet the flow will break you down (breakdown!)
The flow will break you down
Bet the flow will break you down (breakdown!)
The flow will break you down
Bet the flow will break you down (breakdown!)
The flow will break you down
Bet the flow will break you down

The funk makes me tipsy, got the whisky
Yo, can this be the funkdafied horror
Tomorrow I'll flip tip
See, er, the blur in my eyes rectifies
That the funk freak me, so peep me as I speak the grammar
I rocks my bandana, shave my head clean
And on my screens than Vanna White
How should I roll when I write?
Then light the spliff, now it's time to recite
A verse, a hearse you be leavin' in
Believe me when I say what I feel, and it's real, not like TV
And science fiction, my addiction is the funk
With more fumes than a skunk, 'cause I'm bound to jump
So check the sound
Bet the flow will break you down (breakdown!)
The flow will break you down
Bet the flow will break you down (breakdown!)
The flow will break you down
Bet the flow will break you down (breakdown!)
The flow will break you down
Bet the flow will break you down (breakdown!)
The flow will break you down
Bet the flow will break you down
Bet the flow will break you down
Bet the flow will break you down
Bet the flow will break you down
Bet the flow will break you down
Bet the flow will break you down
Bet the flow will break you down"
passenger seat,shedaisy,2004,2000,"Passenger side, I slide on in
Vinyl seats soft from the heat of the sun
Chewin' on a Slim Jim, can't stop thinkin' 'bout him
Yeah, yeah, yeah, he's the one
Mmm, yeah, yeah, yeah, he's the one
Ooh, ooh, ooh, life's so sweet right here in the passenger seat
Ooh, ooh, ooh, yeah, life's so sweet
When I look to my left see his suntanned hands
His muddy river hair and his thousand acre plans
I'm all shook up like a quarter in a can
Ain't life sweet in the passenger seat, yeah
I daydream of me an' a cold cotton pillow
And the feel of his skin
The window sill smiles and before I know it
I'm miles away a-sittin' next to him
Miles away a-sittin' next to him
Ooh, ooh, ooh, life's so sweet right here in the passenger seat
Ooh, ooh, ooh, yeah, life's so sweet
When I look to my left see his suntanned hands
His muddy river hair and his thousand acre plans
I'm all shook up like a quarter in a can
Ain't life sweet, yeah
Shiftin' those gears, baby, 1, 2, 3
Then he shifts those ocean eyes back to me
Can't imagine a moment any better than this
Then we kiss
Ooh, ooh, ooh, life's so sweet right here in the passenger seat
Ooh, ooh, ooh, yeah, life's so sweet
Ooh, ooh, ooh, life's so sweet right here in the passenger seat
Ooh, ooh, oh yeah, life's so sweet, it's...
Life's so sweet, it's...
Life's so sweet, it's...
So sweet in the passenger seat
Life's so, life's so, life's so sweet
Right here"
anchorage,michelle shocked,1989,1980,"I took time out to write to my old friend I walked across that burning bridge Mailed my letter off to Dallas But her reply came from Anchorage, Alaska  She said:  Hey girl, it s about time you wrote It s been over two years you know, my old friend Take me back to the days of the foreign telegrams And the all-night rock and rollin ... hey Shell We was wild then  Hey Shell, you know it s kind of funny Texas always seemed so big But you know you re in the largest state in the union When you re anchored down in Anchorage  Hey Girl, I think the last time I saw you Was on me and Leroy s wedding day What was the name of that love song they played? I forgot how it goes I don t recall how it goes  Anchorage Anchored down in Anchorage  Leroy got a better job so we moved Kevin lost a tooth now he s started school I got a brand new eight month old baby girl I sound like a housewife Hey Shell, I think I m a housewife  Hey Girl, what s it like to be in New York? New York City - imagine that! Tell me, what s it like to be a skateboard punk rocker?  Leroy says  Send a picture  Leroy says  Hello  Leroy says  Oh, keep on rocking, girl   yeah, keep on rocking   Hey Shell, you know it s kind of funny Texas always seemed so big But you know you re in the largest state in the union  When you re anchored down in Anchorage Oh, Anchorage Anchored down in Anchorage Oh, Anchorage  "
a heart in new york,art garfunkel,1981,1980,"New York
To that tall skyline I come
Flyin' in from London
To your door
New York
Lookin' down on Central Park
Where they say you should not wander after dark
New York
Like a scene from all those movies
But you're real enough to me
There's a heart
A heart that lives in New York
A heart in New York, a rose on the street
I write my song to that city heartbeat
A heart in New York, the love in her eyes
An open door and a friend for the night
New York
You've got money on your mind
And my words don't make a dime's worth of difference
So here's to you New York"
stranger,stephen stills,1984,1980,"When I look
And my eyes finally meet a lady
Who has something unique
I must know her
Don't stumble on my feet
Get together
At least just enough to speak
To this stranger
If I dream, I'm bound to lose my place
Fascinated, with this beautiful face
Watching her eyes
There focusin' on me
Pay attention, she is talking to me
I'm the stranger
Tryin' to remember that getting it wrong
Is what everyone does
Mutual attraction can be so
Distracting, forget where you were
Strangers can fall in love
When you think about love at all
And you wind up cryin' the blues
And the lonelies person that you know
Is starin' out of the mirror at you you you
Are the stranger
And you know the danger
It'll be right
And you know that she's
With you
She ain't thinkin'
About what she's supposed to do
Worry'in
Might as well just be pretendin'
Hurryin'
When you know every new
Friend is a stranger"
rappin' rodney,rodney dangerfield,1984,1980,"I tell ya, I'm alright now
But last week I was in rough shape
But I don't get a break with nothin'!

I played hide and seek when I was three
(No respect, no respect)
Why, they wouldn't even look for me
(No respect, no respect)
I was an ugly kid, I never had fun
(No respect, no respect)
They took me to a dog show and I won!
(No respect, no respect)
When I was born I brought no joy
(No respect, no respect)
My old man said he wanted a boy
(No respect, no respect)
I was an ugly kid, always alone
(No respect, no respect)
Halloween, I had to trick or treat over the phone
(No respect, no respect)

Friends don't call, my phone don't ring
I don't get a break with anything!
(What's the matter, Rodney?)
Ah, death, where is thy sting?!
It's just Rappin' Rodney, ain't wrapped too tight
No, no, Rappin' Rodney, get out of sight
It's just Rappin' Rodney, make no mistake
Poor old Rappin' Rodney, can't get a break!

I'm getting old, it's hard to face
(No respect, no respect)
When during sex I lose my place
(No respect, no respect)
Steak and sex, my favorite pair
(No respect, no respect)
I have 'em both the same way, very rare
(No respect, no respect)
I know I'm old, I could go any minute!
(No respect, no respect)
I got a kidney-shaped pool with a stone in it
(No respect, no respect)
Doctor Vinnie Boombatz, that's another one
(No respect, no respect)
I said I wanna stop aging, he gave me a gun!
(No respect, no respect)

I told him I got water on the knee
He gave me a sponge and raised his fee!
(What's the matter, Rodney?)
Ah, it ain't easy bein' me
It's just Rappin' Rodney, ain't wrapped too tight
No, no, Rappin' Rodney, get out of sight
It's just Rappin' Rodney, make no mistake
Poor old Rappin' Rodney, can't get a break!

Now, gimme a break! Play something from the 40s!
Now, what kinda music is this? How about ""Stardust""?
Man, what are you doin'?! That's not ""Stardust""!
Listen to this, will ya? I mean, where are the flutes?
What a band... ey, don't quit your day jobs
Look at this, the drummer carries the melody!
Hey, tell the bass player I like his instrument
Hey boys, keep it going! Lay it on me, I'm in the groove!

Nothing goes right, I just can't fight it
(No respect, no respect)
Well, Eastern Airlines thanked me for flying United!
(No respect, no respect)
I got some money, what did I do?
(No respect, no respect)
I bought some quicksand, the deal fell through!
(No respect, no respect)
My car broke down, I called Triple A
(No respect, no respect)
They left the car and towed me away!
(No respect, no respect)
I can't take it no more, I'm getting too old
(No respect, no respect)
I called Suicide Prevention, they put me on hold!
(No respect, no respect)
Winter, summer, spring, and fall
I'm always up against the wall!
(What's the matter, Rodney?)
Ah, I don't get no respect at all

It's just Rappin' Rodney, ain't wrapped too tight
No, no, Rappin' Rodney, get out of sight
It's just Rappin' Rodney, make no mistake
Poor old Rappin' Rodney, can't get a break!

It's getting worse, it's caving in!
The heaviness, I can't take it no more
It's all over... hey, where are my kids?
Somebody help me! Hey, bartender!
Hey, who's that guy with my daughter?
Where's my wallet? How do I get outta here?
Stop that dancing...!"
spin spin sugar,sneaker pimps,1997,1990,"I'm everyone
I feel used
I'm everyone
I need you
I'm everyone
Hang your label on me
I'm everyone
Paint it black and white and easy
I want perfection
I'm real need
I've seen attention
See through me
I'm everyone
Sticks in me
I'm everyone
Sticks with me

Call on me
Spin spin sugar
Crawl on me
Spin spin sugar
Stinks on me
Spin spin sugar
Twists for me
Spin spin sugar
I've seen attention
See through me
I want perfection
I'm real need
I'm everyone
Sticks in me
I'm everyone
Sticks with me

Call on me
Spin spin sugar
Crawl on me
Spin spin sugar
Stinks on me
Spin spin sugar
Twists for me
Spin spin sugar"
sheena is a punk rocker,the ramones,1977,1970,"492. Gloria Gaynor - I Will Survive
491. Joan Jett & The Blackhearts - I Love Rock N' Roll
488. The Cure - Just Like Heaven
487. Alice Cooper I'm Eighteen
486. David Bowie - Young Americans
481. Rick James - Superfreak
472. Del Shannon - Runaway
461. The Ramones - Sheena is a Punk Rocker
457. Chubby Checker - The Twist
431. The Smiths -It was Really Nothing
412. The Carpenters - We've Only Just Begun"
crying on a suitcase,casey james,2013,2010,"Boy, don't wait, don't think
Don't lock the door behind you
Run and jump into your truck
And hit the gas, burn some rubber up
Yeah, your time's running out, do it now
Take a shortcut, take a back road
Take the shoulder to the exit
Skip the parking, screw the ticket
Hit the curb and leave it sitting
Whatever it takes, you gotta get to that gate
She's crying on a suitcase
Sitting at the airport, waiting on the airplane
'Bout to take her out of here
They're gonna call her number
She'll sit down by the window
The plane'll leave the runway
And fade into a goodbye sky
You better run while you've still got time
She's crying on a suitcase
Admit it boy, you blew it, really messed it up
You can make excuses if you really wanna lose her
It's all on the line, do or die time
Getting on your knees time
Tell her that you want her
Need her, love her, gotta have her
Everything good in your life
Begins and ends with her
Lose your pride while you can
Come on, man, be a man
She's crying on a suitcase
Sitting at the airport, waiting on the airplane
'Bout to take her out of here
They're gonna call her number
She'll sit down by the window
The plane'll leave the runway
And fade into a goodbye sky
You better run while you've still got time
She's crying on a suitcase
She's crying on a suitcase
Waiting on the airplane
'Bout to take her out of here
They're gonna call her number
She'll sit down by the window
The plane'll leave the runway
And fade into a goodbye sky
You better run while you've still got time
While you've still got time
She's crying on a suitcase
Waiting on the airplane
She'll fade into a goodbye sky"
